Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:49330000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
49330000;1;01/06/1981;;1;1;2335,49;2081,69;2178,729;15;18;1;1;1;;0;2234,694;2190,506;2218,079;2163,08;2124,932;2103,264;2097,861;2108,672;2190,506;2234,694;2223,612;2223,612;2218,079;2185,009;2335,49;2163,08;2141,246;2081,69;2087,074;2174,033;2185,009;2245,8;2196,009;2229,15;2108,672;2190,506;2196,009;2174,033;2124,932;2212,553;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
49330000;1;01/07/1981;;1;1;2352,474;2081,69;2189,738;7;15;1;1;1;;0;2114,086;2262,502;2185,009;2135,802;2335,49;2273,667;2352,474;2262,502;2168,554;2229,15;2168,554;2152,151;2190,506;2279,258;2081,69;2218,079;2273,667;2114,086;2135,802;2174,033;2279,258;2141,246;2141,246;2201,518;2130,364;2190,506;2103,264;2119,506;2212,553;2146,696;2108,672;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/08/1981;;1;1;2212,553;1866,065;2026,491;1;13;1;1;1;;0;2212,553;2190,506;2212,553;2163,08;2152,151;2130,364;2070,939;1928,132;2060,211;1975,25;2022,853;2060,211;1866,065;1969,991;2001,636;2017,54;2076,311;1922,927;1876,349;2006,931;2006,931;2001,636;2006,931;1949,013;1985,786;1969,991;1938,561;2054,856;1996,347;1902,165;2092,465;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/09/1981;;1;1;2168,554;1650,825;1964,885;23;18;1;1;1;;0;2141,246;2103,264;2060,211;2006,931;2146,696;1907,347;1896,99;2038,828;1799,807;1922,927;1891,821;1902,165;1917,727;1860,932;2033,497;1928,132;1876,349;1650,825;1845,569;1881,5;2060,211;2119,506;2168,554;1928,132;1933,343;1959,49;1996,347;2028,172;1954,249;1985,786;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
49330000;1;01/10/1981;;1;1;2531,037;1804,867;2013,297;24;10;1;1;1;;0;2017,54;1959,49;1928,132;1959,49;2044,165;1928,132;1980,515;1896,99;1949,013;1804,867;1835,357;1845,569;1866,065;1881,5;1809,933;1902,165;1881,5;1943,784;1949,013;1938,561;1815,006;1917,727;2513,513;2531,037;2472,827;1922,927;2001,636;2060,211;2070,939;2386,598;2398,02;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/11/1981;;1;1;2824,573;1964,737;2564,827;25;7;1;1;1;;0;2619,433;2589,823;2301,68;2392,306;2307,301;2312,927;1964,737;2673,092;2679,082;2583,919;2346,807;2455,477;2380,896;2262,502;2472,827;2595,734;2601,65;2643,224;2661,127;2757,482;2763,553;2613,5;2775,711;2733,256;2824,573;2763,553;2595,734;2812,323;2757,482;2703,102;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
49330000;1;01/12/1981;;1;1;6837,202;2661,127;4881,818;21;3;1;1;1;;0;2727,214;2703,102;2661,127;2775,711;2745,358;2775,711;2745,358;2709,122;2673,092;2715,147;2942,075;3380,539;3973,96;4475,184;5047,233;5612,678;5858,374;6098,496;6131,627;6433,999;6837,202;6662,845;6605,245;6651,305;6802,144;6813,819;6790,479;6825,505;6709,112;6639,774;6813,819;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/01/1982;;1;1;7471,981;6422,666;6845,313;31;4;1;1;1;;0;6954,737;7013,894;6490,822;6422,666;6778,824;6931,147;6931,147;6709,112;6778,824;6513,624;6942,937;6802,144;6732,308;6778,824;6790,479;6778,824;6813,819;6848,909;6813,819;6802,144;6802,144;6790,479;6755,545;6616,745;6825,505;7097,15;6931,147;6825,505;7085,225;7374,293;7471,981;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/02/1982;;1;1;7995,784;6872,354;7782,792;15;28;1;1;1;;0;7781,553;7894,594;7970,424;7945,105;7945,105;7869,4;7945,105;7945,105;7806,6;7656,942;7957,759;7932,462;7869,4;7781,553;7995,784;7881,992;7932,462;7932,462;7932,462;7894,594;7831,688;7907,206;7781,553;7831,688;7508,786;7204,942;7109,085;6872,354;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
49330000;1;01/03/1982;;1;1;6872,354;4693,946;6193,09;8;31;1;1;1;;0;6720,705;6709,112;6674,396;6662,845;6605,245;6825,505;6547,904;6872,354;6685,958;6570,81;6732,308;6605,245;6732,308;6720,705;6490,822;6400,03;6343,621;6175,947;6332,37;6175,947;6377,435;6309,9;5945,112;5697,519;5718,832;5612,678;5476,219;5007,323;4859,121;4703,581;4693,946;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/04/1982;;1;1;4967,577;4503,411;4725,25;19;7;1;1;1;;0;4674,708;4655,512;4751,905;4645,929;4626,793;4819,99;4503,411;4703,581;4732,544;4713,225;4636,356;4655,512;4722,88;4674,708;4703,581;4742,22;4655,512;4693,946;4967,577;4829,757;4665,105;4713,225;4742,22;4645,929;4761,601;4859,121;4790,749;4829,757;4859,121;4781,023;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
49330000;1;01/05/1982;;1;1;4878,748;3133,592;3946,439;1;30;1;1;1;;0;4878,748;4790,749;4732,544;4598,167;4569,633;4018,252;4089,648;4179,81;4289,351;4261,828;4161,696;4179,81;4161,696;3782,097;3671,035;3773,493;3782,097;3816,615;3773,493;3730,624;3773,493;3696,512;3603,541;3595,15;3595,15;3773,493;3739,178;3620,354;3251,87;3133,592;3315,881;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/06/1982;;1;1;3259,836;1896,99;2730,447;2;23;1;1;1;;0;3149,231;3259,836;3212,191;3228,033;3228,033;3196,391;3180,63;3196,391;3188,506;3157,066;3251,87;3164,91;3133,592;3125,787;3251,87;3172,765;3009,93;2727,214;2589,823;2554,482;2229,15;1954,249;1896,99;1985,786;1996,347;1933,343;2022,853;1954,249;2044,165;1917,727;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
49330000;1;01/07/1982;;1;1;2119,506;1739,555;1935,386;24;3;1;1;1;;0;1928,132;1850,684;1739,555;2012,233;1949,013;2044,165;1860,932;1840,46;1866,065;1907,347;1891,821;1825,169;1876,349;1928,132;1964,737;1922,927;1866,065;1902,165;2028,172;2049,508;1975,25;2022,853;2038,828;2119,506;2001,636;1928,132;1980,515;1949,013;1866,065;1949,013;1912,534;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/08/1982;;1;1;2152,151;1871,204;1989,891;23;7;1;1;1;;0;2001,636;2006,931;1928,132;2060,211;1959,49;1912,534;1871,204;1975,25;2006,931;1980,515;2049,508;1933,343;2038,828;1996,347;2038,828;2022,853;1969,991;1959,49;1996,347;2076,311;1881,5;1954,249;2152,151;1991,064;1954,249;1975,25;1985,786;1975,25;1933,343;2070,939;2028,172;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
